char,mean_log_rt,acc_rate,strokes,log_freq,sem_component,sem_log_freq,phon_component,phon_log_freq
酯,6.799335590998523,0.6896551724137931,13,0.18783082044399968,酉,3.2454340682062797,旨,2.5906877209169252
酱,6.594292046471481,1,13,1.243618374547786,酉,3.2454340682062797,NA,NA
酶,6.756170168634815,0.9655172413793104,14,0.24271531003910737,酉,3.2454340682062797,每,2.9662599855895415
酷,6.449901429359452,0.9655172413793104,14,1.7209956518996261,酉,3.2454340682062797,告,2.7909103934472226
酸,6.494161767233443,0.9655172413793104,17,1.6523101746989697,酉,3.2454340682062797,夋,2.2272262806913288
酿,6.527588521878692,1,14,0.23152056097025084,酉,3.2454340682062797,良,3.0219413419383674
醇,6.573945615705495,0.9655172413793104,15,0.25362873019375426,酉,3.2454340682062797,享,1.867823852005781
醉,6.432922507370337,1,15,2.141106906057234,酉,3.2454340682062797,NA,NA
醋,6.513018333905102,0.9655172413793104,15,1.315264830942671,酉,3.2454340682062797,NA,NA
醒,6.422905977414864,0.9655172413793104,16,2.3810408560588474,酉,3.2454340682062797,星,2.687048653168746
醛,6.800043489429882,0.8275862068965517,17,0.015820634262069203,酉,3.2454340682062797,荃,0.43668730135759004
醮,6.7859386451518855,0.3103448275862069,19,0.006380458549693074,酉,3.2454340682062797,焦,2.0834585431536703
采,6.333636628215261,0.9655172413793104,8,0.8755531851015121,釆,2.2581876725948344,NA,NA
釉,6.866871928176304,0.5517241379310345,13,0.13219562957342365,釆,2.2581876725948344,由,2.9692559581522486
释,6.407428040498756,0.9655172413793104,12,0.3091615579046436,釆,2.2581876725948344,NA,NA
里,6.352749999113026,1,7,3.224827827010798,里,3.6102197057138943,NA,NA
重,6.363791400900464,1,9,2.1759389397491478,里,3.6102197057138943,NA,NA
野,6.406433817612319,1,11,1.7897928724104248,里,3.6102197057138943,予,2.6048844497938397
量,6.426339402370483,1,12,1.1716474838408664,里,3.6102197057138943,NA,NA
金,6.453250917924215,1,8,1.9795970821503885,金,2.893046278817196,NA,NA
釜,6.595693236484948,0.9310344827586207,10,0.04289038972924478,金,2.893046278817196,父,2.4689559500626763
鉴,6.453817078260113,0.9655172413793104,13,0.3200839427156932,金,2.893046278817196,监,2.262989944948977
针,6.439242079474548,0.9655172413793104,7,1.2645982599804162,钅,3.5720378860357442,NA,NA
钉,6.445368042024566,0.896551724137931,7,0.8936119795139847,钅,3.5720378860357442,丁,3.2909525409149207
