item,frequency,strokes,log10_frequency,mean_rt_ms,median_rt_ms,trials
尾,21.1045,7,1.3243750674682417,558.8957142855942,534.252500000526,28
尿,26.4492,7,1.422412540611664,578.1391071424961,571.55500000203,28
局,39.1179,7,1.5923755321357096,546.1153448279154,553.390000000945,29
屁,18.8213,7,1.2746496171426709,583.5799999998738,565.764999999432,29
层,59.3328,7,1.7732948438010625,642.2996153848338,633.494999999122,26
居,13.0467,8,1.1155006761933448,637.7776785715748,579.9225000010625,28
屈,4.2254,8,0.6258678279768242,559.3393103447332,566.384999998379,29
屉,0.0519,8,-1.2848326421515421,1064.07777777785,936.3224999979135,18
届,32.854,8,1.5165882528051433,630.4324137934484,610.325000001583,29
屋,67.45,9,1.828981954007923,666.0060344836897,565.115000001271,29
屎,52.0682,9,1.716572564355556,606.8344642860163,572.4724999999745,28
屏,1.275,9,0.10551018476997394,780.344444444141,736.89999999851,27
屐,0.0148,10,-1.8297382846050425,907.4796153842917,848.884999998845,13
屑,1.0675,10,0.028367883697061426,642.0569642857489,613.3074999991804,28
展,9.2587,10,0.9665500123341235,626.8707142855338,581.0949999999721,28
属,24.6701,12,1.392170909901579,681.9194230765438,658.2724999988279,26
屠,1.5715,11,0.19631438535359877,619.2363793103268,611.54499999946,29
屡,3.1431,12,0.49735819863047004,757.3229629627054,625.47999999905,27
履,0.1038,15,-0.9838026464875609,822.7656818190619,758.9074999997395,22
屯,0.2891,4,-0.5389519083293421,625.6676785721522,599.1800000013316,28
山,123.5878,3,2.0919756013823547,565.5094827586015,529.145000000368,29
屹,0.0148,6,-1.8297382846050425,737.9446153845633,737.5824999983886,26
岁,408.9177,6,2.611635909395033,640.191896552306,615.814999997616,29
岂,9.3328,6,0.9700119590859403,653.069074073629,572.874999998137,27
岐,0.1408,7,-0.8513973451939065,786.4227500003645,716.5150000018765,20
岑,0.1186,7,-0.9259153109717562,717.1793478259365,693.670000000624,23
岔,0.3336,7,-0.4767739580342989,778.020000000013,743.1274999992455,22
岗,1.3269,7,0.12283819408926622,622.6972413792402,602.975000001956,29
岚,1.3788,7,0.13950127473591,706.9620370372885,686.19000000041,27
岛,46.7606,7,1.6698800750949643,596.9858928575112,575.4050000013085,28
岩,6.9236,8,0.8403319692537896,653.6396428567431,595.317499998491,28
岬,0.1853,8,-0.7321245806811024,813.2390000003386,856.540000000969,5
岳,0.3855,8,-0.4139756176130242,561.9298275860332,541.064999997616,29
岸,12.0756,8,1.0819087187374545,638.5175862068228,589.545000002545,29
峙,0.0297,9,-1.5272435506827877,764.0395454546668,729.495000000461,22
