log10_frequency,strokes,subject,frequency,fit_ms,lower_ms,upper_ms
0.4571558753805589,9,AA,2.865206154650355,662.6034366736062,640.7648337435852,685.1863447727308
0.48982579195178166,9,AA,3.0890560744331834,660.9576005746081,639.1717156199028,683.4860477730124
0.5224957085230044,9,AA,3.3303947136596204,659.331879629613,637.5979339816048,681.8066752212223
0.5551656250942272,9,AA,3.590588413260562,657.7282369765431,636.0454452288141,680.1501951808549
0.5878355416654504,9,AA,3.871110262265045,656.148626585728,634.5162002375671,678.5185626610375
0.6205054582366731,9,AA,4.17354843770735,654.5949791404557,633.0121283448635,676.9137075402936
0.6531753748078959,9,AA,4.499615196105943,653.0691876680997,631.5351207764961,675.3375225705178
0.6858452913791186,9,AA,4.85115656741953,651.5730932359775,630.0870142194512,673.791851360446
0.7185152079503418,9,AA,5.230162806362689,650.10847194969665,628.6695758598709,672.2784774858825
0.7511851245215646,9,AA,5.638779660251267,648.6770147055852,627.2844810939832,670.7991064492892
0.7838550410927874,9,AA,6.079320517170628,647.2803248044128,625.9333097882477,669.3553647442786
0.8165249576640106,9,AA,6.5542795032436,645.9199122480368,624.6175394964762,667.9487953137526
0.8491948742352333,9,AA,7.066345603148498,644.597166193024,623.3385169223501,666.5808310957254
0.8818647908064561,9,AA,7.618417883830712,643.3133420818284,622.0974448030282,665.252782434314
0.9145347073776788,9,AA,8.213621907596913,642.0695479221827,620.8953686043922,663.9658229302497
0.947204623948902,9,AA,8.855327427514885,640.8667379768483,619.7331712847367,662.7209819891751
0.9798745405201248,9,AA,9.54716746530155,639.7057164004236,618.6115786254336,661.5191466423586
1.0125444570913475,9,AA,10.293058879708967,638.5871252281352,617.5311494236207,660.3610471921173
1.0452143736625703,9,AA,11.09722454185622,637.5114270038833,616.4922609160709,659.2472368697875
1.0778842902337935,9,AA,11.964217243053222,636.4789393900312,615.4951462657947,658.1781233285611
1.1105542068050163,9,AA,12.89894547047064,635.4898435348618,614.5399059167306,657.1539738066807
1.143224123376239,9,AA,13.906701196585326,634.5441717378636,613.6264984929368,656.174899349015
1.1758940399474618,9,AA,14.993189839731242,633.6418035249911,612.7547400752165,655.2408474638949
1.208563956518685,9,AA,16.164562565377985,632.7824593804331,611.9243010590568,654.3515925197838
1.2412338730899077,9,AA,17.427451111010733,631.9657101313453,611.134718114714,653.5067423658448
1.2739037896611305,9,AA,18.789005331773247,631.1909995730645,610.3854185683819,652.7057590537954
1.3065737062323537,9,AA,20.256933679438653,630.4576423128477,609.6757197828932,651.947955041111
1.3392436228035765,9,AA,21.83954684388014,629.7648110918209,609.0048176002589,651.2324793296483
1.3719135393747992,9,AA,23.545804804118426,629.1115591745437,608.3718084147004,650.5583401675946
1.404583455946022,9,AA,25.3853675553255,628.4968444427046,607.7757120621711,649.924430402429
1.4372533725172452,9,AA,27.368649798976403,627.9195397619994,607.2154803753965,649.3295397725452
1.469923289088468,9,AA,29.506879905777502,627.3784523385847,606.6900139910803,648.7723769663772
1.5025932056596907,9,AA,31.81216348519097,626.8723439705511,606.1981794093998,648.2515932627684
1.5352631222309134,9,AA,34.2975519214542,626.3999354286301,605.738809610814,647.7657909307369
1.5679330388021366,9,AA,36.9771162641121,625.959926212271,605.3107201683995,647.3135468584868
1.6006029553733594,9,AA,39.866026891393616,625.5510039093392,604.9127140346304,646.8934267921171
1.6332728719445821,9,AA,42.9806393974482,625.1718550029146,604.54358766422,646.5040011389027
1.665942788515805,9,AA,46.33858718969269,624.821177606058,604.2021389723823,646.1438627956696
1.698612705087028,9,AA,49.95888132051005,624.4976928871022,603.8871753381321,645.8116422209889
1.7312826216582509,9,AA,53.862018118497545,624.2001566127619,603.5975220558657,645.5060222717991
1.7639525382294736,9,AA,58.07009522862028,623.9273709465956,603.3320314728187,645.2257528346872
1.7966224548006964,9,AA,62.60693671823176,623.678195236859,603.0895919663552,644.9696635381588
1.8292923713719196,9,AA,67.4982279572509,623.4515473905318,602.8691299623516,644.7366644364786
1.8619622879431423,9,AA,72.77166103612042,623.2464215780988,602.6696266238556,644.525764780809
1.894632204514365,9,AA,78.45709154483251,623.0618849328044,602.4901171731168,644.3360669175488
1.9273021210855883,9,AA,84.58670760062667,622.897065980865,602.3296834458185,644.1667503216651
1.959972037656811,9,AA,91.19521208131194,622.75115155477,602.1874541262762,644.0170649610844
1.9926419542280338,9,AA,98.32001909593001,622.623398443611,602.0626184983744,643.8863406871994
2.0253118707992566,9,AA,106.00146580507821,622.5131238871747,601.9544213972005,643.7739729733818
2.0579817873704798,9,AA,114.28304079011623,622.4197008784823,601.8621624575374,643.6794140036869
2.0906517039417025,9,AA,123.21163026417001,622.3425725341737,601.7852128181196,643.6021845314299
2.1233216205129253,9,AA,132.83778351886025,622.2812429041043,601.7230101438647,643.5418601952647
2.155991537084148,9,AA,143.2159991095825,622.2352610334891,601.6750469040744,643.4980510919248
2.188661453655371,9,AA,154.40503339958107,622.2042265288741,601.6408780532701,643.4704050746312
2.2213313702265935,9,AA,166.46823320964117,622.1878012701225,601.6201340386566,643.4586180662556
2.254001286797817,9,AA,179.47389445669927,622.1856973431877,601.6125111832705,643.4624193852594
2.28667120336904,9,AA,193.49564881180487,622.1976650007814,601.617761358107,643.4815578890287
2.3193411199402627,9,AA,208.61288056650722,622.223485269818,601.6356853408108,643.5157937847423
2.3520110365114855,9,AA,224.91117606775228,622.2629658202289,601.6661284615698,643.5648947389927
